station,Date,Time,ENTERO,WATER_TEMP,DO,PH,CHLOROPHYLL,DENSITY,FECAL,SALINITY,AIR_TEMP,HUMIDITY,WINDSPEED,CLOUD_COVER,SOLAR_RADIATION
A1,1/13/2020,8:00,4.0,14.443333333333333,6.72,7.966666666666666,0.8133333333333334,24.97266666666667,36.0,33.550666666666665,52.2,74.59,3.4,23.3,89.0
A1,1/13/2021,8:00,2.0,13.396666666666667,6.29,7.96,1.47,25.23466666666667,2.0,33.60933333333333,53.9,40.57,2.5,75.3,108.0
A1,1/19/2021,9:00,2.0,14.713333333333333,7.7700000000000005,8.086666666666666,2.7433333333333336,24.944,2.0,33.586999999999996,61.1,65.74,1.9,75.3,193.0
A1,1/2/2020,8:00,2.0,15.193333333333333,7.5633333333333335,8.103333333333333,1.5,24.671000000000003,2.0,33.36666666666667,52.0,81.85,0.0,58.5,85.0
A1,1/21/2020,10:00,2.0,15.13,7.576666666666667,8.06,0.7433333333333333,24.819,2.0,33.542,56.6,89.54,5.7,71.3,234.0
A1,1/27/2021,8:00,2.0,14.513333333333334,7.48,8.143333333333333,1.19,24.999333333333336,5.333333333333333,33.602666666666664,47.1,61.99,0.7,42.3,104.0
A1,1/28/2020,8:00,4.0,14.520000000000001,6.916666666666667,8.003333333333334,0.8933333333333334,24.94666666666667,32.0,33.538333333333334,53.9,74.78,2.5,8.4,123.0
A1,1/5/2021,8:00,2.6666666666666665,13.43,5.955,7.955,0.7649999999999999,25.23,4.666666666666667,33.61,52.5,86.37,5.2,100.0,46.0
A1,1/7/2020,8:00,2.0,15.020000000000001,7.510000000000001,8.016666666666666,1.7666666666666666,24.735333333333333,2.0,33.40166666666667,52.5,49.11,4.6,44.5,123.0
A1,10/11/2021,8:00,2.0,14.87,6.963333333333334,7.883333333333333,1.0999999999999999,24.78233333333333,4.666666666666667,33.457,61.9,82.01,6.8,94.9,47.0
A1,10/13/2020,9:00,2.0,15.776666666666666,6.763333333333333,7.91,2.38,24.626,2.0,33.50133333333333,77.0,36.44,2.4,8.4,317.0
A1,10/20/2020,8:00,2.0,15.473333333333334,6.57,7.93,1.8866666666666667,24.683666666666667,2.0,33.48666666666667,67.7,79.1,2.5,100.0,34.0
A1,10/20/2021,8:00,2.0,15.15,7.336666666666667,7.98,1.8333333333333333,24.760333333333335,2.0,33.49,54.8,75.48,0.5,42.3,57.0
